pid,title,published_date,event_date,url
13022,115年6月28日天然災害停止辦公及上課情形,2026-06-29,2026-06-28,https://www.dgpa.gov.tw/information?uid=374&pid=13022
13021,115年6月27日天然災害停止辦公及上課情形,2026-06-29,2026-06-27,https://www.dgpa.gov.tw/information?uid=374&pid=13021
13020,115年6月26日天然災害停止辦公及上課情形,2026-06-29,2026-06-26,https://www.dgpa.gov.tw/information?uid=374&pid=13020
13019,115年6月25日天然災害停止辦公及上課情形,2026-06-26,2026-06-25,https://www.dgpa.gov.tw/information?uid=374&pid=13019
13009,115年6月15日天然災害停止辦公及上課情形,2026-06-16,2026-06-15,https://www.dgpa.gov.tw/information?uid=374&pid=13009
13007,115年6月10日天然災害停止辦公及上課情形,2026-06-11,2026-06-10,https://www.dgpa.gov.tw/information?uid=374&pid=13007
13005,115年6月9日天然災害停止辦公及上課情形,2026-06-10,2026-06-09,https://www.dgpa.gov.tw/information?uid=374&pid=13005
12928,115年4月4日天然災害停止辦公及上課情形,2026-04-07,2026-04-04,https://www.dgpa.gov.tw/information?uid=374&pid=12928
12750,114年11月14日天然災害停止辦公及上課情形,2025-11-18,2025-11-14,https://www.dgpa.gov.tw/information?uid=374&pid=12750
12746,114年11月13日天然災害停止辦公及上課情形,2025-11-14,2025-11-13,https://www.dgpa.gov.tw/information?uid=374&pid=12746
12744,114年11月12日天然災害停止辦公及上課情形,2025-11-13,2025-11-12,https://www.dgpa.gov.tw/information?uid=374&pid=12744
12740,114年11月11日天然災害停止辦公及上課情形,2025-11-12,2025-11-11,https://www.dgpa.gov.tw/information?uid=374&pid=12740
12739,114年11月10日天然災害停止辦公及上課情形,2025-11-12,2025-11-10,https://www.dgpa.gov.tw/information?uid=374&pid=12739
12724,114年10月28日天然災害停止辦公及上課情形,2025-10-29,2025-10-28,https://www.dgpa.gov.tw/information?uid=374&pid=12724
12722,114年10月27日天然災害停止辦公及上課情形,2025-10-28,2025-10-27,https://www.dgpa.gov.tw/information?uid=374&pid=12722
12720,114年10月26日天然災害停止辦公及上課情形,2025-10-27,2025-10-26,https://www.dgpa.gov.tw/information?uid=374&pid=12720
12719,114年10月25日天然災害停止辦公及上課情形,2025-10-27,2025-10-25,https://www.dgpa.gov.tw/information?uid=374&pid=12719
12718,114年10月24日天然災害停止辦公及上課情形,2025-10-27,2025-10-24,https://www.dgpa.gov.tw/information?uid=374&pid=12718
12717,114年10月23日天然災害停止辦公及上課情形,2025-10-27,2025-10-23,https://www.dgpa.gov.tw/information?uid=374&pid=12717
12716,114年10月22日天然災害停止辦公及上課情形,2025-10-23,2025-10-22,https://www.dgpa.gov.tw/information?uid=374&pid=12716
12714,114年10月21日天然災害停止辦公及上課情形,2025-10-22,2025-10-21,https://www.dgpa.gov.tw/information?uid=374&pid=12714
12713,114年10月20日天然災害停止辦公及上課情形,2025-10-21,2025-10-20,https://www.dgpa.gov.tw/information?uid=374&pid=12713
12709,114年10月19日天然災害停止辦公及上課情形,2025-10-20,2025-10-19,https://www.dgpa.gov.tw/information?uid=374&pid=12709
12708,114年10月18日天然災害停止辦公及上課情形,2025-10-20,2025-10-18,https://www.dgpa.gov.tw/information?uid=374&pid=12708
12692,114年10月6日天然災害停止辦公及上課情形,2025-10-07,2025-10-06,https://www.dgpa.gov.tw/information?uid=374&pid=12692
12691,114年10月5日天然災害停止辦公及上課情形,2025-10-07,2025-10-05,https://www.dgpa.gov.tw/information?uid=374&pid=12691
12690,114年10月4日天然災害停止辦公及上課情形,2025-10-07,2025-10-04,https://www.dgpa.gov.tw/information?uid=374&pid=12690
12689,114年10月3日天然災害停止辦公及上課情形,2025-10-07,2025-10-03,https://www.dgpa.gov.tw/information?uid=374&pid=12689
12687,114年10月2日天然災害停止辦公及上課情形,2025-10-03,2025-10-02,https://www.dgpa.gov.tw/information?uid=374&pid=12687
12684,114年10月1日天然災害停止辦公及上課情形,2025-10-02,2025-10-01,https://www.dgpa.gov.tw/information?uid=374&pid=12684
12682,114年9月30日天然災害停止辦公及上課情形,2025-10-01,2025-09-30,https://www.dgpa.gov.tw/information?uid=374&pid=12682
12681,114年9月29日天然災害停止辦公及上課情形,2025-09-30,2025-09-29,https://www.dgpa.gov.tw/information?uid=374&pid=12681
12680,114年9月28日天然災害停止辦公及上課情形,2025-09-30,2025-09-28,https://www.dgpa.gov.tw/information?uid=374&pid=12680
12679,114年9月27日天然災害停止辦公及上課情形,2025-09-30,2025-09-27,https://www.dgpa.gov.tw/information?uid=374&pid=12679
12678,114年9月26日天然災害停止辦公及上課情形,2025-09-30,2025-09-26,https://www.dgpa.gov.tw/information?uid=374&pid=12678
12676,114年9月25日天然災害停止辦公及上課情形,2025-09-26,2025-09-25,https://www.dgpa.gov.tw/information?uid=374&pid=12676
12673,114年9月24日天然災害停止辦公及上課情形,2025-09-25,2025-09-24,https://www.dgpa.gov.tw/information?uid=374&pid=12673
12672,114年9月23日天然災害停止辦公及上課情形,2025-09-24,2025-09-23,https://www.dgpa.gov.tw/information?uid=374&pid=12672
12670,114年9月22日天然災害停止辦公及上課情形,2025-09-23,2025-09-22,https://www.dgpa.gov.tw/information?uid=374&pid=12670
12669,114年9月21日天然災害停止辦公及上課情形,2025-09-22,2025-09-21,https://www.dgpa.gov.tw/information?uid=374&pid=12669
12652,114年8月23日天然災害停止辦公及上課情形,2025-08-25,2025-08-23,https://www.dgpa.gov.tw/information?uid=374&pid=12652
12651,114年8月22日天然災害停止辦公及上課情形,2025-08-25,2025-08-22,https://www.dgpa.gov.tw/information?uid=374&pid=12651
12650,114年8月21日天然災害停止辦公及上課情形,2025-08-22,2025-08-21,https://www.dgpa.gov.tw/information?uid=374&pid=12650
12647,114年8月14日天然災害停止辦公及上課情形,2025-08-15,2025-08-14,https://www.dgpa.gov.tw/information?uid=374&pid=12647
12646,114年8月13日天然災害停止辦公及上課情形,2025-08-14,2025-08-13,https://www.dgpa.gov.tw/information?uid=374&pid=12646
12637,114年8月12日天然災害停止辦公及上課情形,2025-08-13,2025-08-12,https://www.dgpa.gov.tw/information?uid=374&pid=12637
12632,114年8月7日天然災害停止辦公及上課情形,2025-08-08,2025-08-07,https://www.dgpa.gov.tw/information?uid=374&pid=12632
12631,114年8月6日天然災害停止辦公及上課情形,2025-08-07,2025-08-06,https://www.dgpa.gov.tw/information?uid=374&pid=12631
12630,114年8月5日天然災害停止辦公及上課情形,2025-08-06,2025-08-05,https://www.dgpa.gov.tw/information?uid=374&pid=12630
12628,114年8月4日天然災害停止辦公及上課情形,2025-08-05,2025-08-04,https://www.dgpa.gov.tw/information?uid=374&pid=12628
12627,114年8月3日天然災害停止辦公及上課情形,2025-08-04,2025-08-03,https://www.dgpa.gov.tw/information?uid=374&pid=12627
12626,114年8月2日天然災害停止辦公及上課情形,2025-08-04,2025-08-02,https://www.dgpa.gov.tw/information?uid=374&pid=12626
12625,114年8月1日天然災害停止辦公及上課情形,2025-08-04,2025-08-01,https://www.dgpa.gov.tw/information?uid=374&pid=12625
12624,114年7月31日天然災害停止辦公及上課情形,2025-08-01,2025-07-31,https://www.dgpa.gov.tw/information?uid=374&pid=12624
12622,114年7月30日天然災害停止辦公及上課情形,2025-07-31,2025-07-30,https://www.dgpa.gov.tw/information?uid=374&pid=12622
12620,114年7月29日天然災害停止辦公及上課情形,2025-07-30,2025-07-29,https://www.dgpa.gov.tw/information?uid=374&pid=12620
12619,114年7月28日天然災害停止辦公及上課情形,2025-07-29,2025-07-28,https://www.dgpa.gov.tw/information?uid=374&pid=12619
12612,114年7月21日天然災害停止辦公及上課情形,2025-07-22,2025-07-21,https://www.dgpa.gov.tw/information?uid=374&pid=12612
12611,114年7月15日天然災害停止辦公及上課情形,2025-07-22,2025-07-15,https://www.dgpa.gov.tw/information?uid=374&pid=12611
12609,114年7月14日天然災害停止辦公及上課情形,2025-07-15,2025-07-14,https://www.dgpa.gov.tw/information?uid=374&pid=12609
12607,114年7月13日天然災害停止辦公及上課情形,2025-07-14,2025-07-13,https://www.dgpa.gov.tw/information?uid=374&pid=12607
12606,114年7月11日天然災害停止辦公及上課情形,2025-07-14,2025-07-11,https://www.dgpa.gov.tw/information?uid=374&pid=12606
12602,114年7月10日天然災害停止辦公及上課情形,2025-07-11,2025-07-10,https://www.dgpa.gov.tw/information?uid=374&pid=12602
12600,114年7月9日天然災害停止辦公及上課情形,2025-07-10,2025-07-09,https://www.dgpa.gov.tw/information?uid=374&pid=12600
12597,114年7月8日天然災害停止辦公及上課情形,2025-07-09,2025-07-08,https://www.dgpa.gov.tw/information?uid=374&pid=12597
12594,114年7月7日天然災害停止辦公及上課情形,2025-07-08,2025-07-07,https://www.dgpa.gov.tw/information?uid=374&pid=12594
12593,114年7月6日天然災害停止辦公及上課情形,2025-07-07,2025-07-06,https://www.dgpa.gov.tw/information?uid=374&pid=12593
12592,114年7月5日天然災害停止辦公及上課情形,2025-07-07,2025-07-05,https://www.dgpa.gov.tw/information?uid=374&pid=12592
12577,114年6月13日天然災害停止辦公及上課情形,2025-06-16,2025-06-13,https://www.dgpa.gov.tw/information?uid=374&pid=12577
12458,114年5月21日天然災害停止辦公及上課情形,2025-05-22,2025-05-21,https://www.dgpa.gov.tw/information?uid=374&pid=12458
12449,114年5月19日天然災害停止辦公及上課情形,2025-05-20,2025-05-19,https://www.dgpa.gov.tw/information?uid=374&pid=12449
12333,114年3月18日天然災害停止辦公及上課情形,2025-03-18,2025-03-18,https://www.dgpa.gov.tw/information?uid=374&pid=12333
12275,114年1月21日天然災害停止辦公及上課情形,2025-01-22,2025-01-21,https://www.dgpa.gov.tw/information?uid=374&pid=12275
12189,113年11月16日天然災害停止辦公及上課情形,2024-11-18,2024-11-16,https://www.dgpa.gov.tw/information?uid=374&pid=12189
12188,113年11月15日天然災害停止辦公及上課情形,2024-11-18,2024-11-15,https://www.dgpa.gov.tw/information?uid=374&pid=12188
12185,113年11月14日天然災害停止辦公及上課情形,2024-11-15,2024-11-14,https://www.dgpa.gov.tw/information?uid=374&pid=12185
12182,113年11月12日天然災害停止辦公及上課情形,2024-11-13,2024-11-12,https://www.dgpa.gov.tw/information?uid=374&pid=12182
12177,113年11月5日天然災害停止辦公及上課情形,2024-11-06,2024-11-05,https://www.dgpa.gov.tw/information?uid=374&pid=12177
12176,113年11月4日天然災害停止辦公及上課情形,2024-11-05,2024-11-04,https://www.dgpa.gov.tw/information?uid=374&pid=12176
12175,113年11月3日天然災害停止辦公及上課情形,2024-11-04,2024-11-03,https://www.dgpa.gov.tw/information?uid=374&pid=12175
12174,113年11月2日天然災害停止辦公及上課情形,2024-11-04,2024-11-02,https://www.dgpa.gov.tw/information?uid=374&pid=12174
12173,113年11月1日天然災害停止辦公及上課情形,2024-11-04,2024-11-01,https://www.dgpa.gov.tw/information?uid=374&pid=12173
12171,113年10月31日天然災害停止辦公及上課情形,2024-11-01,2024-10-31,https://www.dgpa.gov.tw/information?uid=374&pid=12171
12170,113年10月30日天然災害停止辦公及上課情形,2024-11-01,2024-10-30,https://www.dgpa.gov.tw/information?uid=374&pid=12170
12169,113年10月29日天然災害停止辦公及上課情形,2024-11-01,2024-10-29,https://www.dgpa.gov.tw/information?uid=374&pid=12169
12164,113年10月25日天然災害停止辦公及上課情形,2024-10-28,2024-10-25,https://www.dgpa.gov.tw/information?uid=374&pid=12164
12162,113年10月24日天然災害停止辦公及上課情形,2024-10-25,2024-10-24,https://www.dgpa.gov.tw/information?uid=374&pid=12162
12149,113年10月5日天然災害停止辦公及上課情形,2024-10-07,2024-10-05,https://www.dgpa.gov.tw/information?uid=374&pid=12149
12148,113年10月4日天然災害停止辦公及上課情形,2024-10-07,2024-10-04,https://www.dgpa.gov.tw/information?uid=374&pid=12148
12147,113年10月3日天然災害停止辦公及上課情形,2024-10-04,2024-10-03,https://www.dgpa.gov.tw/information?uid=374&pid=12147
12146,113年10月2日天然災害停止辦公及上課情形,2024-10-04,2024-10-02,https://www.dgpa.gov.tw/information?uid=374&pid=12146
12145,113年10月1日天然災害停止辦公及上課情形,2024-10-04,2024-10-01,https://www.dgpa.gov.tw/information?uid=374&pid=12145
12144,113年9月30日天然災害停止辦公及上課情形,2024-10-01,2024-09-30,https://www.dgpa.gov.tw/information?uid=374&pid=12144
12142,113年9月29日天然災害停止辦公及上課情形,2024-09-30,2024-09-29,https://www.dgpa.gov.tw/information?uid=374&pid=12142
12031,113年9月9日天然災害停止辦公及上課情形,2024-09-10,2024-09-09,https://www.dgpa.gov.tw/information?uid=374&pid=12031
12029,113年9月8日天然災害停止辦公及上課情形,2024-09-09,2024-09-08,https://www.dgpa.gov.tw/information?uid=374&pid=12029
12007,113年8月8日天然災害停止辦公及上課情形,2024-08-09,2024-08-08,https://www.dgpa.gov.tw/information?uid=374&pid=12007
12003,113年8月5日天然災害停止辦公及上課情形,2024-08-06,2024-08-05,https://www.dgpa.gov.tw/information?uid=374&pid=12003
12002,113年8月4日天然災害停止辦公及上課情形,2024-08-05,2024-08-04,https://www.dgpa.gov.tw/information?uid=374&pid=12002
